Site,Species,E_TPC,tau_TPC,R2_TPC,logL_TPC,E_TPC_mo,tau_TPC_mo,R2_TPC_month
Narraganset,A. hudsonica,9,1,0.75374315403579,148.073207862618,15,1,0.442033842881577
Narraganset,A. tonsa,5,1,0.653804212319062,18.3981031913314,8,1,0.0940763407058643
Tea tortrix,Tortrix,10,1,0.495494655448747,-407.843279464499,15,1,0.23463611554244
