"Time","Temperature","Abundance"
1.0833,2.9,1.8605
1.1667,5.2,2.0335
1.25,10.2,1.932
1.3333,17.9,1.3118
1.4167,20.4,2.5315
1.5,19.4,2.15
1.5833,17,1.7664
1.6667,15.4,3.2643
1.75,11.6,2.1987
1.8333,8,2.2788
1.9167,4.0928,2.7425
2,2.9973,2.968
2.0833,3.7,3.3769
2.1667,7.1,1.7853
2.25,11.1,2.2052
2.3333,19.3,2.1101
2.4167,20.4,3.7694
2.5,22.5831,3.5105
2.5833,21.2,3.9684
2.6667,19.8,4.6129
2.75,14.5,2.5107
2.8333,6.95,3.8639
2.9167,4,4.4056
3,2.0437,3.0778
3.0833,1.884,2.1413
3.1667,4.5,1.7324
3.25,12.7,2.485
3.3333,15,2.3802
3.4167,23.5,2.8615
3.5,22.9,3.7013
3.5833,20,3.8164
3.6667,16.9,4.3406
3.75,14.7,4.8552
3.8333,7.95,3.8609
3.9167,3.9098,3.2119
4,2.6684,2.3898
4.0833,3.2,1.8451
4.1667,6.7,2.6721
4.25,11.7667,2.3025
4.3333,14.65,1.5798
4.4167,22.5,2.8797
4.5,19,4.2258
4.5833,20.3,4.3317
4.6667,15.8,4.8225
4.75,13,4.7134
4.8333,7.2,4.1807
4.9167,5.7,3.7263
5,4.8,3.8156
5.0833,4.2,3.4582
5.1667,5.2,2.6561
5.25,15.15,2.4466
5.3333,17.75,3.878
5.4167,22,5.5011
5.5,23.6,5.1354
5.5833,20.3,4.1746
5.6667,16.2,5.3145
5.75,10.5,4.2174
5.8333,7.1,3.4918
5.9167,5.3,3.0573
6,4.7,3.8954
6.0833,4.5,4.2983
6.1667,8.6,4.2303
6.25,9.9,3.5655
6.3333,18,3.5123
6.4167,21.8,5.3466
6.5,22.3,5.1458
6.5833,19.2,5.0552
6.6667,13.9,5.3093
6.75,12.4,5.1579
6.8333,5.8,3.8432
6.9167,4.6,3.6728
7,3.6,4.1086
7.0833,4.5,4.0739
7.1667,8.4,3.3528
7.25,10.7,3.1545
7.3333,15.9847,5.0156
7.4167,20.3,5.3411
7.5,21.9,5.1002
7.5833,21.9,4.9052
7.6667,17,4.832
7.75,10.1,4.7545
7.8333,6.3,3.8347
7.9167,4.7,3.6287
8,3.7,3.2413
8.0833,3.6,3.4821
8.1667,5.4,3.3416
8.25,11,3.5783
8.3333,14.9,2.8463
8.4167,19.8,3.9378
8.5,23.4,4.8378
8.5833,22.7,5.0651
8.6667,18.2,4.6254
8.75,8.4,4.7966
8.8333,5.8,3.8721
8.9167,3.9,4.0735
9,2.6878,3.8766
9.0833,3.1,3.8821
9.1667,5.1,3.4873
9.25,13.45,2.8519
9.3333,19,3.2496
