"Time","Temperature","Abundance"
1.0833,2.9,3.7
1.1667,5.2,3.8214
1.25,10.2,3.9278
1.3333,17.9,4.2875
1.4167,20.4,3.2638
1.5,19.4,3.0788
1.5833,17,2.9569
1.6667,15.4,3.2164
1.75,11.6,2.9774
1.8333,8,3.3356
1.9167,4.0928,3.4964
2,2.9973,3.5756
2.0833,3.7,3.8078
2.1667,7.1,3.83
2.25,11.1,3.983
2.3333,19.3,3.4515
2.4167,20.4,3.8459
2.5,22.5831,4.0264
2.5833,21.2,4.0349
2.6667,19.8,3.8542
2.75,14.5,3.331
2.8333,6.95,3.4539
2.9167,4,3.1546
3,2.0437,3.4396
3.0833,1.884,3.8928
3.1667,4.5,4.3603
3.25,12.7,4.0006
3.3333,15,3.162
3.4167,23.5,3.9589
3.5,22.9,3.9563
3.5833,20,3.9779
3.6667,16.9,3.6966
3.75,14.7,3.5149
3.8333,7.95,3.6961
3.9167,3.9098,3.9319
4,2.6684,4.0818
4.0833,3.2,4.4017
4.1667,6.7,4.026
4.25,11.7667,4.1764
4.3333,14.65,3.4741
4.4167,22.5,3.3719
4.5,19,3.8062
4.5833,20.3,3.6898
4.6667,15.8,3.9893
4.75,13,3.8733
4.8333,7.2,3.592
4.9167,5.7,3.896
5,4.8,3.7261
5.0833,4.2,3.8907
5.1667,5.2,3.868
5.25,15.15,3.711
5.3333,17.75,3.6818
5.4167,22,3.8048
5.5,23.6,3.8529
5.5833,20.3,3.8324
5.6667,16.2,3.825
5.75,10.5,3.4324
5.8333,7.1,3.2514
5.9167,5.3,3.7938
6,4.7,3.4625
6.0833,4.5,3.736
6.1667,8.6,3.9133
6.25,9.9,4.0854
6.3333,18,3.2428
6.4167,21.8,3.8348
6.5,22.3,4.1971
6.5833,19.2,4.1307
6.6667,13.9,3.8645
6.75,12.4,3.7947
6.8333,5.8,3.5002
6.9167,4.6,3.0456
7,3.6,3.6226
7.0833,4.5,3.9132
7.1667,8.4,3.9258
7.25,10.7,3.6823
7.3333,15.9847,3.9509
7.4167,20.3,4.1462
7.5,21.9,3.8255
7.5833,21.9,3.9794
7.6667,17,3.7358
7.75,10.1,3.801
7.8333,6.3,3.5004
7.9167,4.7,3.2597
8,3.7,3.3884
8.0833,3.6,3.9288
8.1667,5.4,4.1697
8.25,11,3.8018
8.3333,14.9,3.364
8.4167,19.8,3.5239
8.5,23.4,3.7202
8.5833,22.7,3.4809
8.6667,18.2,3.7546
8.75,8.4,3.8373
8.8333,5.8,3.9316
8.9167,3.9,3.5815
9,2.6878,3.5677
9.0833,3.1,3.69
9.1667,5.1,3.8876
9.25,13.45,3.6592
9.3333,19,3.6045
9.4167,19.8,4.0311
9.5,24.1,3.4224
9.5833,20.2,3.9565
9.6667,14.8,3.7532
9.75,8.9,3.6461
9.8333,6.7,3.4261
9.9167,3.7687,3.5722
10,3.5,3.6168
10.0833,2.7,3.9551
10.1667,4.6,4.0833
10.25,14.3,3.7811
10.3333,18.6,3.7166
10.4167,21.2,3.6339
10.5,21.65,3.7432
