"Time","Temperature","Abundance"
1972.0192,3.8,12762
1972.0385,3.8,21833
1972.0577,2.3,9819
1972.0769,2.8,6785
1972.0962,2,8725
1972.1154,1.1,15515
1972.1346,1.5,18852
1972.1538,0.9,3654
1972.1731,1.4,8459
1972.1923,2.0741,2552
1972.2115,2.4,2099
1972.2308,3.7,4141
1972.25,3.9,4779
1972.2692,4.8,27673
1972.2885,4,5715
1972.3077,5.4,6954
1972.3269,6.6,17136
1972.3462,8.6,6435
1972.3654,11.8,32812
1972.3846,10.2,10131
1972.4038,13,5310
1972.4231,14.4,37745
1972.4423,17.7,30372
1972.4615,15.4,38063
1972.4808,17.5,7785
1972.5,18.7,4482
1972.5192,20.2,11873
1972.5385,18.4,1644
1972.5577,21.9,253
1972.5769,23.3,196
1972.5962,21.7408,0
1972.6154,20.905,14.2847
1972.6346,20.1,0
1972.6538,21.4,0
1972.6731,21.3,0
1972.6923,19.4,0
1972.7115,18.9,0
1972.7308,20,0
1972.75,18.6,0
1972.7692,17,0
1972.7885,15.8,2
1972.8077,13.9,1
1972.8269,12.4,75
1972.8462,11.5,51
1972.8654,10.5,54
1972.8846,9.2,54
1972.9038,8.3,664
1972.9231,7,408
1972.9423,6.5,610
1972.9615,5.8,2662
1972.9808,4.1,2184
1973,3.8,1009
1973.0192,4.5,6154
1973.0385,2.5,1920
1973.0577,0.5,3406
1973.0769,4,1656
1973.0962,4,2001
1973.1154,4,22165
1973.1346,0.9,3512
1973.1538,1,9593
1973.1731,1.8,4481
1973.1923,3,15285
1973.2115,5.5,10056
1973.2308,4.5,3402
1973.25,5,6113
1973.2692,6,24605
1973.2885,6,42262
1973.3077,7,21839
1973.3269,10.5,9379
1973.3462,9,14839
1973.3654,11,30368
1973.3846,13.2,21209
1973.4038,13,29038
1973.4231,13.5,14582
1973.4423,15.5,8194
1973.4615,20,37785
1973.4808,18,6978
1973.5,19.8,5027
1973.5192,19.5,4562
1973.5385,24.5,544
1973.5577,21.2,122
1973.5769,21.5,108
1973.5962,20.5,0
1973.6154,21.9519,0
1973.6346,23.5,0
1973.6538,22,0
1973.6731,21,0
1973.6923,24,0
1973.7115,20.2,0
1973.7308,18.5,0
1973.75,18,0
1973.7692,17,0
1973.7885,15.8,0
1973.8077,16,30
1973.8269,13.5,315
1973.8462,12.5,15
1973.8654,10.2,753
1973.8846,8.9,88
1973.9038,8,693.3642
1973.9231,8,1544
1973.9423,5.9,2188
1973.9615,7.6,4999
1973.9808,6,6502
1974,5.0341,8486.8896
1974.0192,4.2,12997
1974.0385,3.5,26856
1974.0577,1.2,13676
1974.0769,0.9,6971
1974.0962,4,16901
1974.1154,1.5,1932
1974.1346,1.2,5698
1974.1538,0.5,7560
1974.1731,3.1,5523
1974.1923,3.7,6892
1974.2115,4.5,1942
1974.2308,3.9,5019
1974.25,4.2,14019
1974.2692,4,21361
1974.2885,6.4,43696
1974.3077,7.3,12335
1974.3269,8.2,50940
1974.3462,9.2,23415
1974.3654,9.6,63305
1974.3846,11.7,56617
1974.4038,14.1,24419
1974.4231,12.8,10524
1974.4423,14.1,18797
1974.4615,18.6,18671
1974.4808,17.8,21426
1974.5,19.4,10252
1974.5192,18.3,8229
1974.5385,22.8,3014
1974.5577,21,5165
1974.5769,20.3,2085
1974.5962,21.3,0
1974.6154,21.8302,15.5799
1974.6346,22.6,0
1974.6538,22.7209,0
1974.6731,23,0
1974.6923,22.1,0
1974.7115,19.7,0
1974.7308,19.5,0
1974.75,18.2,0
1974.7692,17.8,0
1974.7885,15.8,0
1974.8077,15.1,0
1974.8269,11.2,0
1974.8462,10.9,0
1974.8654,10.9,249
1974.8846,9.8,1492
1974.9038,7.8,999
1974.9231,5.8,1881.8772
1974.9423,5.6,3634
1974.9615,5.1,6249
1974.9808,3.7,6054.5382
1975,4.8,7316
1975.0192,3.6,8545
1975.0385,4.2,19677
1975.0577,1.6,24978
1975.0769,3.3,15781
1975.0962,2.1,6001
1975.1154,1.8,13683
1975.1346,1.4,3988
1975.1538,3.5,22502
1975.1731,2.6,4646
1975.1923,2.5,4565
1975.2115,3,5039
1975.2308,5.1,17593
1975.25,4,14410
1975.2692,4,18180
1975.2885,5.7,18402
1975.3077,6.2,17812
1975.3269,8.2,22295
1975.3462,9.7,40132
1975.3654,10.8,47776
1975.3846,15.5,18353
1975.4038,15.5,20553
1975.4231,19.5,12862
1975.4423,15.7,7551
1975.4615,17.1,6486
1975.4808,18.4142,6869.2043
1975.5,19.8,7188
1975.5192,21,3075
1975.5385,21.4,2156.1727
1975.5577,22.9,1119
1975.5769,23.4,23
1975.5962,22.7975,0
1975.6154,22.5,0
1975.6346,21.9,0
1975.6538,21.2,0
1975.6731,19.9,0
1975.6923,19.8,0
1975.7115,17.8,0
1975.7308,18.2,0
1975.75,16.9,93
1975.7692,16.8,46
1975.7885,14,426.5552
1975.8077,14.6,1679
1975.8269,13.8,1004
1975.8462,13.6,673
1975.8654,13.3,1451
1975.8846,10.8,1508
1975.9038,9.7163,1470.3412
1975.9231,8.8,1939
1975.9423,5.8,1854
1975.9615,7.9,1488
1975.9808,4.7578,1766.5109
1976,1.8,1659
1976.0192,0.5,6487
1976.0385,2,733
1976.0577,0.5,4777
1976.0769,1,5550
1976.0962,0.5,1121
1976.1154,0,1420
1976.1346,4,1724.5769
1976.1538,4,915
1976.1731,5,4987
1976.1923,3,3931
1976.2115,4,2259
1976.2308,4,18989
1976.25,7,23655
1976.2692,8,11591
1976.2885,6,22146
