"Time","Temperature","Abundance"
0.0027,10.67,2171.0033
0.0219,11.2623,7672.0897
0.0411,12.3067,3422.5255
0.0603,14.13,1828.9965
0.0795,15.06,1999.9917
0.0986,12.68,571.0012
0.1178,17.82,1770.9999
0.137,14.42,1143.0019
0.1562,16.52,0
0.1753,17.97,5942.9833
0.1945,19.19,1599.9996
0.2137,18.93,1485.9973
0.2329,18.8,1829.001
0.2521,20.37,114.0016
0.2712,18.82,0
0.2904,17.99,799.9993
0.3096,16.84,685.9993
0.3288,17.51,2285.9959
0.3479,19.44,800.0016
0.3671,18.13,800.0019
0.3863,17.94,914.0021
0.4055,16.53,3885.9958
0.4247,12.79,2971.0008
0.4438,12.109,3406.6281
0.463,11.449,3913.0591
0.4822,10.7879,4468.9686
0.5014,10.3,1600.0029
0.5205,8.6,571.0002
0.5397,7.03,685.9987
0.5589,5.05,371.0004
0.5781,6.13,229.0009
0.5973,5.8141,272.6872
0.6164,3.37,485.9994
0.6356,1.98,256.9996
0.6548,2.8021,157.4361
0.674,3.47,343.0002
0.6932,3.75,399.9995
0.7123,3.74,86.0003
0.7315,3.43,371
0.7507,4.3763,525.2209
0.7699,4.7135,478.4496
0.789,4.2041,212.0562
0.8082,3.72,57.0003
0.8274,4.359,624.731
0.8466,4.93,285.9996
0.8658,4.75,229.0002
0.8849,5.54,457.0002
0.9041,4.84,343.0008
0.9233,6.1823,972.1381
0.9425,7.661,1935.9635
0.9616,9.2406,3220.8198
0.9808,10.8725,4790.0447
1,12.5045,6591.6477
1.0192,14.09,8570.9973
1.0384,15.63,7999.9993
1.0575,14.86,2057.0108
1.0767,15.4928,3925.2638
1.0959,16.0394,6315.9757
1.1151,15.65,7885.9954
1.1342,17.36,1257.0045
1.1534,12.75,1599.9997
1.1726,15.55,1371.0012
1.1918,15.07,4229.0001
1.211,15.67,2057.0009
1.2301,17.32,1485.9998
1.2493,17.71,2285.9977
1.2685,17.8134,1175.7841
1.2877,17.6906,433.4587
1.3068,17.3466,56.226
1.326,17.33,2970.9896
1.3452,17.0419,2023.3719
1.3644,16.66,1314.0003
1.3836,14.03,457.0015
1.4027,13.59,743.0004
1.4219,12.8436,753.1689
1.4411,12.1305,787.7897
1.4603,11.4419,834.8505
1.4795,10.7567,881.0925
1.4986,10.05,914.0002
1.5178,9,1199.999
1.537,8.12,600.0001
1.5562,6.83,257.0004
1.5753,6.9,456.9993
1.5945,7.28,171.0001
1.6137,7.0469,144.9373
1.6329,5.21,485.9991
1.6521,3.934,478.9167
1.6712,2.84,485.9998
1.6904,2.299,241.6446
1.7096,1.91,86.0001
1.7288,1.43,199.9999
1.7479,1.8215,298.9106
1.7671,1.43,685.999
1.7863,1.79,57.0003
1.8055,3.22,170.9995
1.8247,1.41,170.9995
1.8438,0.82,342.9995
1.863,3.51,342.9995
1.8822,1.83,342.9992
1.9014,2.07,342.9985
1.9205,4.43,0
1.9397,6.4529,499.3948
1.9589,7.625,599.2489
1.9781,8.8522,686.4213
1.9973,10.08,743.0004
2.0164,11.12,1371.0003
2.0356,13.09,114.0013
2.0548,13.2746,278.0372
2.074,13.351,474.6964
2.0932,13.33,686.0026
2.1123,13.77,5485.9945
2.1315,14.6,2743.0013
2.1507,16.2,3656.9988
2.1699,18.93,457.0026
2.189,18.31,457.0023
2.2082,18.4651,2131.0033
2.2274,19.58,229.0013
2.2466,19.42,0
2.2658,18.54,685.9999
2.2849,19.46,229.0016
2.3041,19.6,913.9985
2.3233,17.72,0
2.3425,17.28,228.9994
2.3616,14.88,0
2.3808,14.35,0
2.4,13.8541,5.7823
2.4192,13.3811,28.204
2.4384,12.9435,73.075
2.4575,12.5359,141.5815
2.4767,12.14,228.9994
2.4959,10.8018,0.0147
2.5151,8.77,0
2.5342,5.64,0
2.5534,7.24,228.9999
2.5726,5.31,114.0003
2.5918,5.48,113.9997
2.611,3.71,0
2.6301,3.02,0
2.6493,1.6569,55.6471
2.6685,0.46,229
2.6877,0.62,114
2.7068,1.89,113.9998
2.726,3.68,0
2.7452,4.76,114.0004
2.7644,5.37,343.0009
2.7836,5.8368,201.276
2.8027,4.9822,765.7187
2.8219,4.2459,706.1818
2.8411,4.571,378.975
2.8603,5.89,228.9998
2.8795,5.49,456.9992
2.8986,5.6,343.0002
2.9178,7.19,457.0006
2.937,7.205,342.9999
2.9562,7.9999,477.9068
2.9753,8.8555,614.8206
2.9945,9.56,686.0015
3.0137,11.9876,638.4921
3.0329,12.98,1828.998
3.0521,15.94,3428.9972
3.0712,15.8783,3619.4138
3.0904,16.7972,7233.3657
3.1096,17.08,5942.996
3.1288,18.75,2970.9965
3.1479,17.46,3200.0017
3.1671,15.81,2057
3.1863,18.06,1370.9986
3.2055,18.94,457.0018
3.2247,17.14,3885.9935
3.2438,20.0034,2982.285
3.263,19.7,343.002
3.2822,20.28,1599.9956
3.3014,22.27,228.999
3.3205,21.37,456.9994
3.3397,20.1465,57.9864
3.3589,19.43,456.9982
3.3781,16.99,0
3.3973,14.76,685.9974
3.4164,13.8066,3e-04
3.4356,10.91,0
3.4548,8.13,456.9974
3.474,8.68,456.9981
3.4932,8.44,228.9999
3.5123,6,570.9996
3.5315,6.03,57.0007
3.5507,5.42,515.8773
3.5699,5.21,114.0006
3.589,4.96,114.0003
3.6082,1.9437,20.8652
3.6274,-0.82,57.0001
3.6466,-0.5139,30.3859
3.6658,-0.0558,13.7653
3.6849,0.5618,4.5622
3.7041,1.3268,0.5495
3.7233,2.26,113.9994
3.7425,3.05,0
3.7616,0.48,228.9998
3.7808,0.32,0
3.8,-0.38,0
3.8192,0.05,228.9992
3.8384,0.85,22
3.8575,3.1415,7.028
3.8767,4.1741,55.0199
3.8959,5.1328,274.8983
3.9151,6.25,686.0003
3.9342,5.31,2056.9976
3.9534,8.53,686.0016
3.9726,9.28,3199.9953
3.9918,11.0049,2850.0948
4.011,11.64,3657.0015
4.0301,10.1,2286.0028
4.0493,12.98,5485.9872
4.0685,15.4476,854.0019
4.0877,18.24,3656.9979
4.1068,17.24,914.0024
4.126,17.96,457.0015
4.1452,15.6,1370.9988
4.1644,16.2771,856.9006
4.1836,16.91,457.0004
4.2027,19.8,686.0009
4.2219,19.71,229.0014
4.2411,21.34,1370.994
4.2603,19.84,228.9987
4.2795,20.37,0
4.2986,19.24,0
4.3178,17.08,0
4.337,16.6458,41.2102
4.3562,16.8,0
4.3753,16.394,0.0124
4.3945,15.23,913.9904
4.4137,14.18,0
4.4329,10.79,1370.996
4.4521,10.52,457.0003
4.4712,6.16,229.0005
4.4904,7.27,1713.9971
4.5096,7.3,1143
4.5288,6.3327,469.2896
4.5479,7.12,686.0005
4.5671,6.97,0
4.5863,6.1808,460.5667
4.6055,4.77,57.0002
4.6247,4.0583,98.2007
4.6438,3.4945,154.2351
4.663,3.1045,229.7888
4.6822,2.8942,329.4866
4.7014,2.85,456.9995
4.7205,0.96,57.0003
4.7397,1.16,628.9986
4.7589,3.82,0
4.7781,3.1392,216.4524
4.7973,3.47,0
4.8164,2.35,114.0001
4.8356,2.46,228.9988
4.8548,1.88,57
4.874,5.34,0
4.8932,5.3,229.0007
4.9123,6.09,457.0005
4.9315,6.8506,754.2333
4.9507,7.87,1143
4.9699,9.6474,1152.801
4.989,10.63,3428.9931
5.0082,11.56,3656.9943
5.0274,12.16,229.0009
5.0466,12.6267,302.1408
5.0658,13.1133,1057.354
5.0849,15.56,2285.9963
5.1041,15.8734,1260.4686
5.1233,15.04,2286
5.1425,15.4,1371.0013
5.1616,15.4968,1735.493
5.1808,16.31,2285.9969
5.2,15.5148,2598.1899
5.2192,16.9,2285.9986
5.2384,18.7268,1052.0812
5.2575,20.05,913.998
5.2767,21.3145,27.4356
5.2959,18.87,0
5.3151,18.0167,809.0271
5.3342,16.86,229.0008
5.3534,17.6,229.0003
5.3726,16.2576,222.9109
5.3918,14.1153,404.0899
5.411,13.11,0
5.4301,12.87,456.9983
5.4493,9.04,0
5.4685,9.67,456.9996
5.4877,10.51,0
5.5068,10.22,0
5.526,7.26,0
5.5452,7.4847,347.3524
5.5644,6.4512,347.5421
5.5836,5.69,229
5.6027,5.98,170.9997
5.6219,5.83,113.9999
5.6411,4.9307,102.5653
5.6603,4.2105,96.6056
5.6795,3.6769,95.9897
5.6986,3.3173,100.0621
5.7178,3.1025,107.9974
5.737,1.48,57.0002
5.7562,2.73,228.9998
5.7753,1.84,171.0001
5.7945,0.83,399.9992
5.8137,0.79,114.0002
5.8329,-0.11,14.0003
5.8521,0.58,57.0004
5.8712,2.5,342.9997
5.8904,5.21,342.9991
5.9096,4.82,57.0003
5.9288,7.23,114.0009
5.9479,7.6419,1151.8851
5.9671,9.5,914.0004
5.9863,8.73,2513.9989
6.0055,10.1633,4446.3534
6.0247,10.8156,5826.0331
6.0438,11.8027,6224.0806
6.063,13.89,2743.0012
6.0822,13.43,1370.9986
6.1014,13.24,457.0005
6.1205,14.3556,852.942
6.1397,18.11,457.0027
6.1589,17.95,457.0005
6.1781,19.32,0
6.1973,20.41,229
6.2164,18.5415,75.3383
6.2356,17.57,685.9971
6.2548,17.11,913.9984
6.274,16.7956,793.7841
6.2932,16.25,686.0001
6.3123,17.3593,599.6787
6.3315,17.69,229.0018
6.3507,17.8865,1134.9232
6.3699,17.0114,1348.7995
6.389,15.7935,1265.166
6.4082,15.02,229.0004
6.4274,14.49,113.9998
6.4466,13.3369,0
6.4658,11.6804,10.6629
6.4849,11.8201,57.7648
6.5041,12.09,0
6.5233,11.43,0
6.5425,7.35,0
6.5616,8.03,170.9996
6.5808,4.5669,18.8018
6.6,4.2,0
6.6192,3.2851,23.6989
6.6384,2.4996,97.2519
6.6575,1.8734,227.7474
6.6767,1.4172,424.7595
6.6959,1.0875,300.4033
